comment,label,language
Permi musulod on time.,1,cebuano
Musabot permi sa mga students. Keep it up miss,1,cebuano
dili stricta sa mga students. Thank you miss,1,cebuano
Dako muhatag ug grado,1,cebuano
kugihan mutudlo sa mga students. Keep it up miss Baluarte,1,cebuano
Always enter the class on time,1,english
Understands her students. Keep it up,1,english
She is not a strict teacher to us. Thank you miss,1,english
She is a kind teacher and she make sure that her students understands the lesson,1,english
She is good in teaching and a master of her subject,1,english
ambot lang,0,cebuano
wa koy ma say aning maestraha,0,cebuano
Ok,0,cebuano
k,0,cebuano
ambot,0,cebuano
lol,0,english
yes,0,english
okay,0,english
idk,0,english
???,0,english
"dili kahibaw mutudlo, mura ug di kahibaw sa iyang subject",-1,cebuano
"tapulan pagkamaestra, sige lag hatag buhatonon unya walay klase2",-1,cebuano
magsige lag hatag ug buhatonon unya di magdiscuss,-1,cebuano
murag walay alam,-1,cebuano
Panagsa ra musulod sa klase,-1,cebuano
"She doesn't know how to teacher, she looks like she have no idea on her subject",-1,english
She seldom enter the class,-1,english
She only enters the class sometimes,-1,english
"Not a good teacher, she is not good in her subject",-1,english
She gives a lot of task without discussing them,-1,english
"but.an kaayo nga maestro, thank you sir",1,cebuano
"dali ra ma approach, dili masuko",1,cebuano
"kugihan kaayo mutudlo, keep it up sir",1,cebuano
thank you sir,1,cebuano
Good job,1,cebuano
Kind and good teacher,1,english
he always came into class to teach us. Thank you sir,1,english
he give us high grades,1,english
he is a approachable teacher,1,english
he seldom absent,1,english
Ok,0,cebuano
uwu,0,cebuano
hi,0,english
hello,0,english
hmmm,0,english
murag yabag magstorya usahay,-1,cebuano
walay klaro muhatag ug instructions,-1,cebuano
boring mutudlo hahahah,-1,cebuano
mutopic ug bastos usahay hahaha,-1,cebuano
magpatan.aw rag youtube sa klase usahay nya lag pajud,-1,cebuano
Gives us small grades,-1,english
He does not give clear instructions,-1,english
He does not discuss the lessons properly but instead only show us videos,-1,english
His lessons are sometime irrelevant,-1,english
"He is not a good teacher, he is boring to listen",-1,english
Maayo mutudlo,1,cebuano
Stricta si miss but naa jud kay ma learn,1,cebuano
stricta per makat.on jud ka,1,cebuano
ganahan jud si miss makalearn iyang students,1,cebuano
ganahan kaayo ko nimo miss bisag stricta kayka kay na force jud ko ug kat.on sa lessons hahaha,1,cebuano
she is one of the great teacher in css,1,english
you always make sure that your students understoon the lessons,1,english
good job miss,1,english
she is scary but she teaches the students well,1,english
she is good in teaching especially in her lessons,1,english
ambot,0,cebuano
not sure,0,cebuano
edi wow,0,english
ulol,0,english
wala koy masulti hahahha,0,english
"sobraan ra kaayo ka kastricta miss, mahadlok nami haha",-1,cebuano
ma pressure ang student nimo miss,-1,cebuano
grabe kaayo ka makadala ug pressure sa students miss,-1,cebuano
sakit kaayo ka manulti miss,-1,cebuano
dili kahibaw musabot ug student if maglibog,-1,cebuano
You put so much pressure to us,-1,english
give us small grades,-1,english
doesn?t give students another chance,-1,english
too strict,-1,english
scary teacher,-1,english
finds her student's weakness and helps them develop their skills in that particular field,1,english
good at teaching and disciplines her students well,1,english
knows what her lessons are all about,1,english
very outgoing with her students,1,english
interacts with students during discussion,1,english
dili pasagdan ang wala pa kasabot,1,cebuano
kasabot sa iyang discussion if naa mi clarifications,1,cebuano
approachable ra og naa mi concerns,1,cebuano
sayon ra sabton ang explanation sa iyang discussion,1,cebuano
muhatag og simple alternatives para mapasayon ang lesson.,1,cebuano
fine at teaching,0,english
no problems at all,0,english
I have no concerns to deal,0,english
just indifferent. No concerns at all,0,english
im cool with her as my teacher in this subject.,0,english
oks raman,0,cebuano
madala rag smile,0,cebuano
ge lang,0,cebuano
sakto ra mutudlo,0,cebuano
masabtan ra nay uban lisod,0,cebuano
ill tempered at most occasion,-1,english
very strict in every exam,-1,english
doesn?t consider close to correct answers,-1,english
inconsiderate at most time,-1,english
sometimes doesn?t dismiss students on time,-1,english
maldita usahay,-1,cebuano
dili mu consider og uban answer,-1,cebuano
di masabtan mutudlo,-1,cebuano
paspas kaayo mudiscuss,-1,cebuano
taas kaayo muhatag og short quiz,-1,cebuano
Gives good remarks to students who strive,1,english
Gives decent grades as long as you comply,1,english
Not very demanding with requirements,1,english
"Gives reasonable, not too hard questionnaires during exams",1,english
Approachable when asked with concerns,1,english
dili kaayo strict sa klase,1,cebuano
ma approach ra og naa mi concern,1,cebuano
dili kaayo grabe muhatag og buhatonon,1,cebuano
mu consider og answers na close to correct,1,cebuano
di ra kaayo bun.og muhatag og activities,1,cebuano
I have no concerns with her teaching,0,english
no problems with her,0,english
just about right with her teaching strategy,0,english
not that bad,0,english
oks lang man,0,english
mada rag smile,0,cebuano
ok ra mutudlo,0,cebuano
ocakes lodicakes,0,cebuano
ambot sad,0,cebuano
ok ra man,0,cebuano
doesn?t understand her lessons,-1,english
doesn?t teach her students well but atleast she tries,-1,english
her discussions are so hard to understand,-1,english
gives tests that aren't discussed well.,-1,english
very incompetent as a teacher,-1,english
di kibaw mutudlo,-1,cebuano
way klaro mutudlo,-1,cebuano
wa kasabot sa iyang discussion,-1,cebuano
lisod sabton og mu discuss,-1,cebuano
sig salig sa notes og mag discuss,-1,cebuano
interactive with his students during discussion,1,english
explains his discussions very well.,1,english
knows his lessons very well,1,english
always comes on time in his class,1,english
very outgoing as a teacher,1,english
maayo mutudlo,1,cebuano
dili kaayo strikto,1,cebuano
mu correct sa sayop sa among research,1,cebuano
tarong mu explain,1,cebuano
musulod on time sa iyang klase,1,cebuano
he's fine as a teacher,0,english
no problems with his way of teaching so far,0,english
nothing really to say,0,english
not problems with him,0,english
okay,0,english
mada rag smile,0,cebuano
ok ra mutudlo,0,cebuano
ocakes lodicakes,0,cebuano
ambot sad,0,cebuano
ok ra man,0,cebuano
not good at teaching,-1,english
doesn't dismiss us on time,-1,english
always absent,-1,english
not good at explaining,-1,english
very complex at discussing,-1,english
sig ka late,-1,cebuano
di masabtan usahay,-1,cebuano
way klaro mu discuss,-1,cebuano
di musud klase usahay,-1,cebuano
daghag pabuhat,-1,cebuano
very vigorous at teaching.,1,english
very gregarious while discussing,1,english
approachable when asked for clarifications,1,english
considerate to close correct answers,1,english
not very strict,1,english
dako muhatag og grado,1,cebuano
jamming na pagka maestro,1,cebuano
dili strikto,1,cebuano
maayo mu discuss,1,cebuano
masabtan ra ang lessons,1,cebuano
I have no problems with how he teaches us,0,english
just fine as an overall teacher,0,english
I have no concerns,0,english
I have undecided remarks,0,english
"fair enough, I have no words",0,english
ok ra na pagka maestro,0,cebuano
madala rag smile,0,cebuano
wala ra koy problema nya mutudlo,0,cebuano
cge lods,0,cebuano
wala na koy blema,0,cebuano
bad at discussion,-1,english
discussion is unclear,-1,english
not approachable,-1,english
keeps giving us reports to discuss without follow up discussion,-1,english
very complicated in discussing,-1,english
di kibaw mutudlo,-1,cebuano
way klaro mu discuss,-1,cebuano
dali2on pirmi ang klase,-1,cebuano
daghan pabuhat,-1,cebuano
way sudlanay klase,-1,cebuano
di mo tudlo,-1,cebuano
di mo discuss,-1,cebuano
tagsa ra mo tudlo,-1,cebuano
wa kasabot sa iya ge discuss,-1,cebuano
dili kabalo mo tudlo,-1,cebuano
lazy,-1,english
doesn't teach her student,-1,english
does not teach her student,-1,english
does not care about her student,-1,english
bad at teaching,-1,english
ok,0,english
okay,0,english
serious,0,english
fair,0,english
no comment,0,english
ok ra nga maestra,0,cebuano
wala koy ma sturya,0,cebuano
okay ra na maestra,0,cebuano
wala ra,0,cebuano
wa koy ma sturya,0,cebuano
good teacher,1,english
good instructor,1,english
helpful to her students,1,english
very good teacher,1,english
very good instructor,1,english
maayo nga maestra,1,cebuano
maayo mo tudlo,1,cebuano
maayo mo tudlo nga maestra,1,cebuano
mo sabot nga maestra,1,cebuano
kabalo mo sabot nga maestra,1,cebuano
taas ug garbo,-1,cebuano
strict nga maestra,-1,cebuano
dili mo adjust sa iyang students,-1,cebuano
dili maminaw sa iyang students,-1,cebuano
dili kabalo mo sabot,-1,cebuano
uninteresting teacher,-1,english
uninteresting instructor,-1,english
high ego,-1,english
strict teacher,-1,english
does not adjust to her student,-1,english
sakto ra nga maestra,0,cebuano
okay ra,0,cebuano
wala koy ma sturya,0,cebuano
oks ra,0,cebuano
sakto sakto ra mo tudlo,0,cebuano
nothing,0,english
none,0,english
none so far,0,english
nothing to say,0,english
nothing to share,0,english
not bad,1,english
the best instructor,1,english
thank you miss god bless,1,english
best teacher in ccs,1,english
best instructor in css,1,english
butan nga maestra,1,cebuano
dali ra ka makasabot,1,cebuano
mo hatag ug time sa student niya,1,cebuano
buotan nga maestra,1,cebuano
maayo mo explain,1,cebuano
walay klaro mo tudlo,-1,cebuano
walay klaro mo hatag instructions,-1,cebuano
dili mo check sa activity,-1,cebuano
dili mo check sa assignment,-1,cebuano
gamay mo hatag grado,-1,cebuano
does not check assignments,-1,english
does not check activities,-1,english
does not give clear instructions,-1,english
does not give high grades,-1,english
does not teach well,-1,english
sakto ra nga mestro,0,cebuano
ok ra nga maestro,0,cebuano
wala ra,0,cebuano
natural ra mo tudlo,0,cebuano
sakto ra jud mo tudlo,0,cebuano
cannot really say much,0,english
nothing to comment,0,english
average teacher,0,english
average instructor,0,english
typical teacher,0,english
mo consider bisan late,1,cebuano
butan nga maestro,1,cebuano
butan nga instructor,1,cebuano
salamat sir,1,cebuano
responsable nga maestro,1,cebuano
very considerate about deadlines,1,english
great improvement,1,english
thank you sir,1,english
responsible teacher,1,english
responsible instructor,1,english
she gives good grade,1,english
nindot muhatag ug grado,1,cebuano
she is very approachable,1,english
dali ra maduolan,1,cebuano
she is very understanding,1,english
masinabtanun na maestra,1,cebuano
very good instructor to her students,1,english
maayo nga maestra sa iyang mga estudyante,1,cebuano
dagko muhatag ug grado,1,cebuano
she's a nice teacher,1,english
okay ra,0,cebuano
sakto ra,0,cebuano
so fine,0,english
serious type,0,english
so far nice,0,english
no comment,0,english
wala ra,0,cebuano
chill,0,english
wakoy ma ingun,0,cebuano
okay ra man siya,0,cebuano
di mo tudlo,-1,cebuano
bati motudlo,-1,cebuano
tagsa ra mag discuss,-1,cebuano
inactive,-1,english
she doesn't teach her students well,-1,english
di kamao mo explain,-1,cebuano
bati sige rag pa notes,-1,cebuano
not discussing,-1,english
not good in teaching,-1,english
not so much to teach,-1,english
but.an,1,cebuano
very good teacher to her students,1,english
mo discuss jud pirmi,1,cebuano
considerate,1,english
responsible instructor,1,english
friendly teacher,1,english
mutubag jud ug pangutan.on,1,cebuano
he helps students regarding activities,1,english
mutabang ug studyante nga nag-lisud,1,english
salamat kaayo sir,1,cebuano
fair instructor,0,english
motudlo ra,0,cebuano
okay ra siya,0,cebuano
wakoy ika ingun,0,cebuano
fine teacher,0,english
maayo raman,0,cebuano
formal,0,english
none,0,english
okay ra,0,cebuano
nothing,0,english
libug sabtun,-1,cebuano
way klaru mo hatag grado,-1,cebuano
doesn't give good grade,-1,english
bati siya motudlo,-1,cebuano
di ko ganahan kay way klaru,-1,english
not explicity give instructions,-1,english
always depend on google,-1,english
he provide confusing instructions,-1,english
way ayu siya ug bati,-1,cebuano
unclear teacher,-1,english
nindut motudlo,1,cebuano
maayo motudlo,1,cebuano
she discuss the lesson until you understand,1,english
she is so good in programming,1,english
she explained the discussion very well,1,english
one of the best instructor in the ccs department,1,english
she compliment me quite sometime when doing programming task and I'm flattered as a student who really not good in coding,1,english
dali ra makasabut kung naa kay mga pangutana,1,cebuano
maayo siya nga maestra,1,cebuano
dagko muhatag grado,1,cebuano
i have nothing to say,0,english
no comment,0,english
none so far,0,english
okay lang,0,cebuano
nice raman pud siya,0,cebuano
nothing,0,english
reasonable,0,english
sakto rasad,0,cebuano
wala koy ma comment,0,cebuano
maayo raman,0,cebuano
strikta kaayo,-1,cebuano
very strict,-1,english
inconsiderate,-1,english
not adjusting to her students,-1,english
cannot accept error,-1,english
grabi ug garbo,-1,cebuano
self-conceit,-1,english
maldita,-1,cebuano
di masinabtanon,-1,cebuano
mang down ug estudyante,-1,cebuano
she teach well until you understand.,1,english
gives complement if you did well.,1,english
listen to your opinions.,1,english
gives good and high grade.,1,english
strict and proud.,1,english
kamao sa iyang expertise.,1,cebuano
boutan nga maesta.,1,cebuano
mo consider basta sakto imo idea.,1,cebuano
jolly og maka jamming ra nmu.,1,cebuano
maayo nga pagka maestra.,1,cebuano
gives a lot of work activities.,-1,english
she has very high expectations of the students.,-1,english
Sometimes she never teach but gives a quiz.,-1,english
sometimes can't control emotions.,-1,english
her mood can affect the class.,-1,english
dali ra masuko basta dka maminaw sa discussions.,-1,cebuano
kahadlokan nga maestra.,-1,cebuano
mang look down.,-1,cebuano
dali ra samokan.,-1,cebuano
dika e treat og sakto basta di sya ganahan nimo.,-1,cebuano
ok.,0,english
never mind.,0,english
fair.,0,english
sure.,0,english
she's bad and also good.,0,english
ambot.,0,cebuano
wara koy ma sulti.,0,cebuano
cguro.,0,cebuano
seyoso.,0,cebuano
di ko sure.,0,cebuano
he teach well.,1,english
gives complement if you did well.,1,english
listen to your opinions.,1,english
gives good grades.,1,english
good and gentle,1,english
kamao sa iyang expertise.,1,cebuano
boutan nga maesta.,1,cebuano
mo consider ra sa imo situations.,1,cebuano
maka jamming ra nmu.,1,cebuano
maayo nga pagka maestra.,1,cebuano
gives a lot of work activities.,-1,english
has a high expectations in students.,-1,english
Sometimes she never teach but gives a quiz.,-1,english
lazy teacher.,-1,english
tagaan rakag link ikaw nay mo search.,-1,english
way pake og dmu maminaw.,-1,cebuano
basta lang naay matudlo.,-1,cebuano
mang criticize.,-1,cebuano
di mo discuss og maayo.,-1,cebuano
dali ra mahi ubos.,-1,cebuano
ok.,0,english
nothing i can say.,0,english
fair enough.,0,english
sure.,0,english
good but lazy.,0,english
good nga diko ganahan.,0,cebuano
okay ra.,0,cebuano
madara nga maestro.,0,cebuano
seyoso.,0,cebuano
di ko sure.,0,cebuano
she's a good teacher.,1,english
gives complement.,1,english
listen to your opinions.,1,english
gives good grades.,1,english
gentle teacher.,1,english
smiley teacher.,1,cebuano
boutan nga maesta.,1,cebuano
dili ra pressure.,1,cebuano
maka jamming ra nmu.,1,cebuano
considerate nga pagka maestra.,1,cebuano
doesn't teach well.,-1,english
has a high expectations in students.,-1,english
she doesn't understand her topic.,-1,english
her mind goes blank sometimes.,-1,english
di kamao mo discuss.,-1,english
way pake og dmu maminaw.,-1,cebuano
basta lang naay matudlo.,-1,cebuano
mag lisod og explain sa student about sa iya topic.,-1,cebuano
di mo discuss og maayo.,-1,cebuano
gahi pasabton.,-1,cebuano
dumb.,0,english
nothing i can say.,0,english
fair enough.,0,english
sure.,0,english
good but lazy.,0,english
good nga diko ganahan.,0,cebuano
okay ra.,0,cebuano
madara nga maestro.,0,cebuano
seyoso pero dili suited.,0,cebuano
di ko sure.,0,cebuano
gamay muhatag ug grado,-1,cebuano
kamao mutudlo,1,cebuano
dili musulod on time,-1,cebuano
musulod on time,1,cebuano
dili mo tudlo,-1,cebuano
way ayo nga maestro,-1,cebuano
sige lang ug absent,-1,cebuano
dili mo check sa activity,-1,cebuano
dili mo check sa assignment,-1,cebuano
does not follow schedule,-1,english
very lazy,-1,english
does not listen to his students,-1,english
does not explain the lessons well,-1,english
does not make his own resources,-1,english
sakto ra,0,cebuano
sakto ra gud,0,cebuano
normal ra,0,cebuano
dili nindot dili sad bati,0,cebuano
buotan pero tapulan,0,cebuano
fair,0,english
typical,0,english
good but lazy,0,english
moderate,0,english
just right,0,english
dako kaayo mo hatag ug grado,1,cebuano
mo dawat bisan late,1,cebuano
dili boring nga maestro,1,cebuano
dili stricto,1,cebuano
friendly,1,english
humorous,1,english
funny,1,english
entertaining,1,english
not boring,1,english
thankyou sir,1,english
dili mo reply,-1,cebuano
dili considerate,-1,cebuano
dili mo basa og message,-1,cebuano
sige ug ka late,-1,cebuano
dili mo tabang,-1,cebuano
ignores message,-1,english
does not reply to my concern,-1,english
not considerate,-1,english
does not reply to my message,-1,english
always late,-1,english
wala ra koy comment,0,cebuano
wala ra koy ma sturya,0,cebuano
walay libog,0,cebuano
dili subra dili sad kuwang,0,cebuano
ambot,0,cebuano
i do not have a comment,0,english
nothing,0,english
nothing to share,0,english
nothing to comment,0,english
i do not have any concern,0,english
daghang salamat miss,1,cebuano
salamat kaayo miss,1,cebuano
responsable nga maestra,1,cebuano
responsible,1,cebuano
daghan kog nakatunan,1,cebuano
thank you ms,1,english
thanks miss,1,english
i learned a lot,1,english
approachable,1,english
very responsible,1,english
boring mo tudlo,-1,cebuano
way kinabuhi,-1,cebuano
laay paminawm,-1,cebuano
hinay og tingug,-1,cebuano
kalas ug data,-1,cebuano
monotonous,-1,english
tedious,-1,english
uninteresting,-1,english
not interactive,-1,english
not confident,-1,english
sakto ra mo hatag grado,0,cebuano
sakto ra gud,0,cebuano
sakto mo discuss,0,cebuano
kalma nga maestra,0,cebuano
kalma mo tudlo,0,cebuano
just right,0,english
average,0,english
moderate,0,english
tolerable,0,english
simple,0,english
dili strict,1,cebuano
matinabangon,1,cebuano
dali maduolan,1,cebuano
grabe ka buotan,1,cebuano
approachable nga maestra,1,cebuano
not strict,1,english
helpful,1,english
approachable,1,english
very kind,1,english
very humble,1,english
dili mo tudlo,-1,cebuano
dili mo tudlo sa iyahang students,-1,cebuano
dili klaro mo tudlo,-1,cebuano
pirme mo gawas sa klase,-1,cebuano
sige lang ug gawas sa room,-1,cebuano
does not teach,-1,english
does not know how to teach,-1,english
does not teach her students,-1,english
always go out,-1,english
always go out of the class,-1,english
madala dala ra,0,cebuano
madala ra ug smile,0,cebuano
masabtan ra,0,cebuano
ok ra jud,0,cebuano
oki,0,cebuano
k,0,english
unbiased,0,english
alright,0,english
acceptable,0,english
fine,0,english
buotan pagka maestra,1,cebuano
jamming nga maestra,1,cebuano
kabalo mo sabot,1,cebuano
di boring,1,cebuano
positive nga maestra,1,cebuano
friendly to her students,1,english
very lively,1,english
nice teacher,1,english
amazing teacher,1,english
enthusiastic,1,english
very approachable instructor towards his students,1,english
he is very nice and chill,1,english
he doesn't pressure his students,1,english
he satisfied his students when it comes to grades,1,english
he is very friendly and jamming,1,english
lami muhatag ug grado,1,cebuano
but.an nga pag ka maestro,1,cebuano
dili tihik muhatag ug grado basta mupass lang,1,cebuano
musabut sa iyang mga estudyante kung di ka pass dayun,1,cebuano
mutodlo sa studyante kung naglibug,1,cebuano
chill,0,english
wala ray problema,0,cebuano
good,0,english
waley ra,0,cebuano
none,0,english
di mutodlo sa iyang klasi,-1,cebuano
segi lang ug pareport,-1,cebuano
exam nga way tudlotudlo,-1,cebuano
daghan kaayog ipabuhat nga wa mi alamag,-1,cebuano
tagsa ra musod sa klasi,-1,cebuano
pressure his students,-1,english
sleepy in class,-1,english
always absent,-1,english
don't discuss,-1,english
make his students report instead of him,-1,english
very generous instructor,1,english
she is very considerate teacher I've known,1,english
she looks nice and approachable,1,english
help her students in a positive way,1,english
she is so creative,1,english
but.an kaayo si miss,1,cebuano
dali ra mo reply or mutubag kung naay pangutana,1,cebuano
matinabangun sa iyang mga estudyante,1,cebuano
musabot sa usa ka estudyante kung ngano wa kapass,1,cebuano
mutodlo hantud makamao ang studyante sa gi discuss,1,cebuano
keep it up,0,english
hahaha,0,english
ay nalang ta,0,cebuano
maayo ma'am,0,cebuano
murag wala,0,cebuano
segi lang pa tanaw bidyu,-1,cebuano
di kamao mo explain usahay,-1,cebuano
way klaru muhatag instruction sa lms,-1,cebuano
di muhatag ug sakto nga tubag pangutan.on,-1,cebuano
her class is so boring because sge always play youtube video,-1,english
she don't discuss,-1,english
i don't like her ways of teaching,-1,english
she doesn't explain further when she discuss a lesson,-1,english
she provide confusing instruction,-1,english
boring kaayu iya klasi,-1,cebuano
Very approachable and jamming instructor,1,english
cool teacher because she gives time to students,1,english
she gives a very satisfying grades,1,english
she always give her students a short break after major exams,1,english
i like the materials she used in our class,1,english
ganahan ko ni miss kay mo tagad jud nimu ba,1,cebuano
ganahan ko ni miss kay di kalimut sa iyang estudyante,1,cebuano
"si miss kay kalma ra kaayo, di manghasul ug studyante",1,cebuano
nindut siya kay musabay sa iyang estudyante,1,cebuano
dagko mohatag ug grades si miss naa pajuy plus points,1,cebuano
she nice,0,english
chillin',0,english
kalma,0,cebuano
okay raman siya way problema,0,cebuano
okey keyooo,0,cebuano
bati segi lag pa answer,-1,cebuano
walay discussay,-1,cebuano
daghan pansweran,-1,cebuano
segi lag film showing,-1,cebuano
dili madoulan kung nay kinahanglan,-1,cebuano
sometimes she's out of nowhere,-1,english
i can't understand her discussion because she doesn't elaborate,-1,english
i don't like her because she is so timid,-1,english
she left us with a task that we don't know how to do it,-1,english
doesn't discuss any lesson,-1,english
very vigorous at teaching.,1,english
very gregarious while discussing,1,english
approachable when asked for clarifications,1,english
considerate to close correct answers,1,english
not very strict,1,english
dako muhatag og grado,1,cebuano
jamming na pagka maestro,1,cebuano
dili strikto,1,cebuano
maayo mu discuss,1,cebuano
masabtan ra ang lessons,1,cebuano
I have no problems with how he teaches us,0,english
just fine as an overall teacher,0,english
I have no concerns,0,english
I have undecided remarks,0,english
"fair enough, I have no words",0,english
ok ra na pagka maestro,0,cebuano
madala rag smile,0,cebuano
wala ra koy problema nya mutudlo,0,cebuano
cge lods,0,cebuano
wala na koy blema,0,cebuano
bad at discussion,-1,english
discussion is unclear,-1,english
not approachable,-1,english
keeps giving us reports to discuss without follow up discussion,-1,english
very complicated in discussing,-1,english
di kibaw mutudlo,-1,cebuano
way klaro mu discuss,-1,cebuano
dali2on pirmi ang klase,-1,cebuano
daghan pabuhat,-1,cebuano
way sudlanay klase,-1,cebuano
never gets late in class,1,english
understandable discussion,1,english
very approachable when I have concerns,1,english
not very strict,1,english
makes good examples to elaborate programming problems in real life situations,1,english
maayo mutudlo,1,cebuano
dili ma late sa klase,1,cebuano
klaro ra mu discuss,1,cebuano
di kaayo daghag ipabuhat,1,cebuano
approachable ra og naa mi mga concern,1,cebuano
i have no concerns about her way of teaching,0,english
no problems encountered so far,0,english
just cool with my concerns of her as a teacher,0,english
"Im even-minded at state right now, nothing really to comment",0,english
"just about right, nothing much to comment here.",0,english
oks ra,0,cebuano
mada rag smile,0,cebuano
wala ra ko problema sa iyang pag handle,0,cebuano
okay ra mutudlo,0,cebuano
wala ra koy ma tell,0,cebuano
not that well at teaching,-1,english
not really outgoing with her students,-1,english
doesn't put interesting notions during discussion,-1,english
makes up boring classes sometimes,-1,english
her way of discussing makes it boring to listen the lesson,-1,english
duka makadalag discuss usahay,-1,cebuano
way klaro usahay inig discuss,-1,cebuano
usahay di masabtan,-1,cebuano
libog mu explain,-1,cebuano
di kaayo professional mudala sa iyang klase,-1,cebuano
dili klaro iyang tinudloan.,-1,cebuano
basta lang maka hatag og activities.,-1,cebuano
igo ra mudawat dili mo check sa activities.,-1,cebuano
dili kaayo tarong iya mga explanation.,-1,cebuano
gamay mo hatag grado,-1,cebuano
does not provide good instructions.,-1,english
gives a lot of activities,-1,english
not a good example as a teacher.,-1,english
does not give high grades,-1,english
he does not teach well and lazy,-1,english
sakto ra nga mestro,0,cebuano
way kurat nga maestro,0,cebuano
wala ra,0,cebuano
natural ra mo tudlo,0,cebuano
payts ra pag ka maestro,0,cebuano
I cannot really say that much.,0,english
no comment,0,english
average teacher,0,english
good person,0,english
just leave it good,0,english
mo consider ra bisan late basta naay reason,1,cebuano
boutan nga maestro,1,cebuano
maayo ra pagka tao,1,cebuano
mo hatag advice,1,cebuano
masinabtanon nga maestro,1,cebuano
very considerate about deadlines,1,english
great improvement,1,english
thank you sir,1,english
responsible as a teacher,1,english
gives high grades,1,english
:),1,english
